t[c]	Об/мин	[V2-V1]	Кр.м.	P	Л.С.
57	1053	19	21,6666666666667	2395,575	3,2570755558728
54	1111	58	69,8148148148148	8144,24722222222	11,0730945800006
53	1132	21	25,7547169811321	3061,20566037736	4,16208139086213
53	1132	0	0	0	0
52	1154	22	27,5	3332,175	4,53049716263964
50	1200	46	59,8	7534,8	10,2444769620615
45	1333	133	192,111111111111	26888,8316666667	36,5586367980458
41	1463	130	206,09756097561	31659,6768292683	43,0451810139287
39	1538	75	125	20186,25	27,4456618723009
39	1538	0	0	0	0
40	1500	-38	-61,75	-9725,625	-13,2231699917913
42	1429	-71	-109,880952380952	-16487,0875	-22,416200571381
54	1111	-318	-382,777777777778	-44652,9416666667	-60,7111047662102
56	1071	-40	-46,4285714285714	-5221,125	-7,09875441664585
54	1111	40	48,1481481481482	5616,72222222222	7,63661695172456
50	1200	89	115,7	14578,2	19,8208358613798
44	1364	164	242,272727272727	34698,3	47,1765587636961
40	1500	136	221	34807,5	47,3250294443056
36	1667	167	301,527777777778	52777,9145833333	71,757993583719
34	1765	98	187,352941176471	34721,1838235294	47,2076721048532
34	1765	0	0	0	0
33	1818	53	104,393939393939	19927,7590909091	27,0942120444244
33	1818	0	0	0	0
33	1818	0	0	0	0
34	1765	-53	-101,323529411765	-18777,7830882353	-25,5306798118084
36	1667	-98	-176,944444444444	-30971,4708333333	-42,1094812646974
38	1579	-88	-150,526315789474	-24956,5105263158	-33,9314112040514
40	1500	-79	-128,375	-20219,0625	-27,4902744566187
41	1463	-37	-58,6585365853659	-9010,83109756097	-12,2513207501182
40	1500	37	60,125	9469,6875	12,8751918341126
39	1538	38	63,3333333333333	10227,7	13,9058020152991
37	1622	84	147,567567567568	25132,2324324324	34,1703265062414
35	1714	92	170,857142857143	30749,16	41,8072226499365
33	1818	104	204,848484848485	39103,5272727273	53,1660009928328
31	1935	117	245,322580645161	49843,4153225807	67,7681849528373
30	2000	65	140,833333333333	29575	40,210809331763
30	2000	0	0	0	0
30	2000	0	0	0	0
30	2000	0	0	0	0
31	1935	-65	-136,290322580645	-27690,7862903226	-37,6489916404652
31	1935	0	0	0	0
31	1935	0	0	0	0
32	1875	-60	-121,875	-23994,140625	-32,6229522823798
32	1875	0	0	0	0
32	1875	0	0	0	0
32	1875	0	0	0	0
33	1818	-57	-112,272727272727	-21431,7409090909	-29,1390582364564
34	1765	-53	-101,323529411765	-18777,7830882353	-25,5306798118084
36	1667	-98	-176,944444444444	-30971,4708333333	-42,1094812646974
37	1622	-45	-79,0540540540541	-13463,6959459459	-18,305532056915
39	1538	-84	-140	-22608,6	-30,739141296977
45	1333	-205	-296,111111111111	-41445,1916666667	-56,3497785233036
43	1395	62	93,7209302325581	13727,773255814	18,6645772760511
42	1429	34	52,6190476190476	7895,225	10,7345185834782
36	1667	238	429,722222222222	75216,4291666667	102,265883071408
